miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49
hsa-let-7g-3p	17.342407	16.971767	17.232002	14.23722	48.63649	52.798254	7.142203	13.653646	13.317577	68.279048	70.637428	22.486364	19.245641	10.363455	46.491795	13.313327	18.845562	16.545882	9.692112	5.378896	46.221166	57.55098	18.341262	11.165051	33.855994	18.964869	13.129872	66.567423	23.887631	19.016061	27.24644	52.864383	29.062046	33.995237	47.081327	12.475971	50.883017	15.325223	22.236588	29.707673	12.236017	22.052997	31.495449	36.437944	25.914064	53.957765	22.579722	30.319477	85.686583	53.036837	52.067479	51.583308	49.039482	50.700887	46.034907	56.120194	46.917411	43.655218	38.370793	34.584198	52.543121	54.831928	80.457672	40.243682	32.880304	52.809733	44.208765	51.577931	47.128116	80.242909	54.784765	49.750906	50.377776	54.950213	41.056783	40.188478	28.847875	48.089628	48.202514	48.652315	40.183334	34.608861	63.286761	47.145743	65.32856	87.489882	46.201433	43.770674	51.088407	72.776778	29.121841	48.404851	75.962417	44.619069	50.569716	41.333977	51.477081	69.938948
hsa-let-7g-5p	554.003215	1006.481408	758.028587	1431.817673	1033.735066	906.127258	270.451396	437.58269	917.115327	2512.188875	835.349078	732.007523	720.131629	1029.176709	1825.284385	460.871228	663.322373	925.545922	868.828615	290.844545	1321.248943	1397.250375	860.241194	887.39823	766.191667	1050.499987	785.772389	3411.512472	1332.929707	442.190372	1103.974959	781.218106	1024.161227	934.67584	532.019001	595.876156	720.190382	218.844199	667.421489	441.371137	940.133985	1710.08257	410.090231	486.943437	1070.114457	841.650184	375.186886	456.19769	856.278948	1055.954732	946.261132	1212.023027	1205.840261	1220.592438	1348.7037	1198.808494	1274.658888	1243.88076	1728.492999	767.6558	727.36164	1306.667277	1329.9081	681.143061	1078.064464	1106.785498	1130.895901	1105.604752	1172.26237	1516.792848	1124.48813	1229.635181	1206.605168	542.514235	1159.193012	1250.937137	1942.316175	1752.971521	757.369002	650.422776	675.914015	598.875999	920.303153	592.689345	855.704076	883.044429	607.878862	601.718027	708.573971	1058.290491	1579.60882	674.198044	678.637005	1421.896811	763.195845	748.586718	658.544681	790.000975
hsa-let-7i-3p	62.432668	43.124981	40.926004	55.273913	37.106288	62.447589	15.95092	18.648881	53.35201	55.476727	67.123127	91.91028	43.087253	57.505483	81.704515	39.446895	40.590442	18.76337	17.168884	18.826134	73.089568	78.130918	254.979518	27.912626	56.087613	35.238778	49.691518	27.170376	9.120732	29.461503	48.987125	62.262495	55.732911	38.824106	50.444279	19.605098	90.458696	20.229296	114.205392	25.849533	40.601329	22.353039	78.576276	81.70933	32.733554	85.635218	104.370042	55.819963	94.489999	53.471564	57.294334	53.183745	46.853008	41.482546	65.679113	39.892668	76.811692	60.355538	31.558588	105.64244	73.148267	45.212291	158.222202	41.743447	27.460474	55.472409	51.353615	45.360317	72.078295	150.39237	48.846948	65.722997	70.725803	50.662191	45.927927	51.226157	36.100134	30.735545	51.670321	67.457642	54.399137	45.312631	95.615911	68.047797	115.218424	74.517244	44.551382	44.800571	39.537985	111.327465	56.067912	51.180757	94.287983	65.71905	83.7016	49.379903	78.221032	86.167875
hsa-let-7i-5p	322.655496	280.312375	220.605525	266.319763	249.890933	326.802979	105.942667	79.257748	390.294871	425.677188	257.94961	304.766628	237.841639	497.056196	282.802162	257.226629	252.033507	105.927759	210.45729	143.309136	248.579687	211.445214	362.689482	163.902944	305.575777	290.623806	361.980493	399.67624	200.221766	186.009215	312.557614	187.374869	126.548658	135.594637	186.307539	155.850626	150.909459	120.762765	954.770025	114.200924	144.607476	199.377114	257.158719	222.308266	235.954373	270.698222	395.180077	256.811992	316.922982	208.452159	218.723628	201.901248	238.013284	284.511592	317.878965	238.003717	283.372862	227.212231	259.141875	359.826847	213.263257	179.566547	313.919578	184.97096	197.522706	245.631828	316.829474	211.964102	243.165235	318.448273	230.79063	296.239126	267.1499	166.438794	221.149925	186.791518	260.275525	242.538998	185.007493	229.114442	162.628777	234.234192	238.256043	163.036018	241.872919	314.963573	145.864524	154.99968	153.709464	274.673645	228.455823	165.339871	211.33513	324.6978	330.156315	151.294976	181.577358	209.816841
hsa-miR-100-3p	0.346848	0	0.5385	0	0	0.182063	0.238073	0.333016	0.326812	0	0.35143	0	0	0.311683	0.275099	0.164362	0	0.341152	1.384587	1.536827	0.375782	1.456987	0.359632	1.786408	0.290609	0.128141	0.605994	0	0	0	0.564693	0.293691	0.183937	0	0	0	0	0.919513	0.215889	0	0.185394	3.000407	0.324695	0	1.363898	0.151567	0.139813	0	0.195631	0.869456	0.201033	0.369332	0.46853	0.419016	0.793705	0.50711	0.415198	0.585976	0.139025	0.188985	0.686838	0	0.504963	0.499922	0.361323	0	0	0.282618	0.792069	0.504672	0.672205	0.323759	1.312776	0	0.835054	0.283017	0.322323	1.045427	0.17339	0.517578	0.568632	0.178396	0.195934	0	0.285902	0.301689	0.66002	0.51495	0	0.37068	0.502101	0.346988	0.886721	0.671974	0.813765	0.94658	0.402165	0.386404
hsa-miR-100-5p	1793.638526	2177.115968	12801.76197	5445.317908	320.32999	10137.4466	7981.173152	1747.999658	10892.30705	120.821909	8529.205766	5296.957528	3619.616533	10961.96309	8461.781819	3084.911579	5216.907244	2285.037439	20559.87731	7427.485772	7458.142135	26517.70676	955.903467	13513.06088	4456.640352	5626.543537	5946.418401	1838.891081	201.090407	2935.704826	9753.519943	5041.500009	5069.119846	1200.070465	22270.81314	236.251329	4579.036547	24550.70274	19130.15863	15442.9742	9005.337868	22257.17697	2581.32807	4606.271449	8876.521668	4971.844204	3130.611942	6577.920951	11437.20269	9351.220368	9029.988857	5669.608558	8568.165817	6533.710227	5655.54699	7616.964118	7720.820638	8048.674689	7523.733933	11288.05537	7532.897832	8648.373753	11257.67798	8827.614065	8696.539242	8225.226858	5678.816637	12702.01945	6944.466451	8489.851163	9569.856682	5595.843718	9266.721116	10043.18356	7567.11288	9312.9723	3270.285414	8648.60615	8136.861849	6505.95301	6408.483686	6132.904087	6236.783009	9251.4812	5063.606719	3701.425387	9081.881809	10908.68176	14009.99556	16742.85988	4629.535876	8674.357661	11076.32538	11733.60535	10710.78237	9228.362494	7222.877863	8269.797412
hsa-miR-101-5p	3.81533	4.034273	6.462	5.304062	7.337401	9.649336	3.5711	8.658409	4.983879	10.935316	7.38003	11.352338	2.297986	5.376529	11.829272	1.314896	4.141883	2.899793	1.799963	9.220964	6.951964	11.838018	1.438529	5.359224	9.59011	1.28141	5.251948	18.74756	4.343206	5.892301	12.140901	4.699056	11.771968	6.567262	2.690361	4.752751	7.828157	7.202855	5.829009	9.259535	9.269709	14.401957	5.844517	6.25702	3.818914	8.184605	10.346127	7.429274	10.564099	17.389125	11.458867	18.46658	18.116497	7.123266	12.500857	21.805739	20.552317	16.260836	11.678068	8.504311	15.45386	10.260947	11.950824	10.248392	8.91261	7.544247	14.066426	13.707013	10.692934	11.102793	15.236663	16.187932	9.681723	11.593543	15.030958	18.962169	13.376388	12.126949	12.484103	13.62955	17.627595	7.49264	22.728372	16.257152	39.311497	18.704732	13.20041	12.35878	13.327412	15.815667	22.761899	16.13495	10.049504	15.858586	14.764032	12.778825	21.113646	10.626085
hsa-miR-103a-2-5p	0.260136	0.417339	0.1795	1.116645	0	0	0.476146	0.333016	0.326812	0.266715	2.10858	1.528199	0.574497	0.623365	0.825298	0.657448	0	0.511728	0.138459	0	0.375782	2.549727	1.078898	0.669903	2.179571	0.384423	0.403996	1.630223	0.434321	0.535664	0.988213	0	1.471496	2.317857	1.34518	0.792125	0.434898	0.153252	1.187391	1.92907	0.741576	0.15002	0.974086	0.73612	0.27278	2.121937	0.55925	1.204747	0.978157	0.434728	0.804131	0.123111	0.312353	0.209508	1.190558	0.338073	0.622797	0.146494	0.139025	2.078832	1.030257	0.320655	0.336643	1.749725	0.361322	0.22189	0.66983	0.565238	0	0.757009	0.224069	0.971277	0.328194	0.952894	0	0	0.966968	0.627256	0.693562	1.552734	0.379088	1.962357	2.351211	0.92898	0.285902	2.413514	0.33001	0.51495	1.110618	0.12356	0.167367	0.520482	0	0.403185	2.09254	0.47329	0.603247	0.386404
hsa-miR-106a-3p	0	0	0	0	0	0.182063	0	0.666031	0	0	0.35143	0.436628	0	0.623365	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271704	0	0	0	0	0.183937	0	0	0.198031	0	0	0.323834	0	0	0	0	0	0	0	0.139812	0	0.195631	0	0.201033	0	0	0	0	0	0.207599	0	0	0	0.686838	0	0	0	0.120441	0	0	0	0	0	0	0	0	0.158816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116252	0.157763	0	0
hsa-miR-106a-5p	3.381769	5.564514	2.154	3.070772	27.043565	13.108532	8.332569	10.656505	3.594929	26.404788	21.43723	18.120077	13.213423	16.986715	3.85139	5.259586	7.662481	6.993619	4.569138	9.989378	8.07931	4.553082	5.034856	5.359224	21.069181	8.713588	9.493908	38.310233	15.635541	7.365377	33.175717	19.970989	14.347086	15.838691	3.362951	17.426753	8.697951	7.202853	28.173542	4.243954	1.483154	4.050549	9.416165	4.41672	13.093424	6.214238	7.899408	17.067253	8.999045	16.302304	8.845442	10.710619	12.181782	12.36096	8.730758	5.916285	11.417955	13.477449	5.004888	20.599332	12.706506	8.657674	11.445858	8.998588	7.708204	9.763145	11.83366	7.913325	12.277074	13.878488	8.738674	13.058267	4.758813	11.75236	10.159817	20.094238	9.83084	9.827009	12.137322	15.527335	11.562185	18.018014	14.303198	15.328173	18.440668	13.877704	12.540387	7.466764	11.106176	10.379033	11.883053	13.012056	5.6159	7.257321	13.717762	15.145274	12.467105	8.307669
hsa-miR-106b-3p	225.971574	252.072468	192.065021	482.948834	391.397966	224.483606	296.639474	745.289241	193.717633	672.922024	799.151788	399.296679	379.45508	313.78669	354.8782	311.959198	320.99584	344.563723	233.302984	384.591002	300.437581	304.692372	171.005304	231.786452	369.80045	245.646313	556.706606	405.653722	98.590762	187.214459	303.099006	202.059418	238.750228	191.609512	572.374424	246.945019	126.120297	370.104164	149.611221	124.617901	191.697603	123.766833	209.428504	145.751777	267.596813	321.776217	163.370923	393.952408	485.361677	290.181054	189.171811	195.253279	211.463244	215.374018	173.821457	176.30531	195.558416	166.710198	167.385635	315.415442	175.830576	204.577602	337.98955	163.724297	109.841893	181.727611	254.312032	187.658883	207.522124	225.083883	182.167751	157.238763	164.261087	201.219419	160.886919	224.998872	158.421573	165.386505	203.907038	184.2577	134.576262	241.548435	190.252153	176.738476	176.115507	223.250044	188.435848	206.752064	201.688143	222.778487	159.668026	161.002519	297.642624	157.241897	200.76759	162.653931	151.61609	250.195957
hsa-miR-106b-5p	217.387081	127.427364	137.138016	218.862362	218.864208	174.780424	167.127534	389.295408	150.496788	742.001216	290.281169	368.951003	176.083241	186.775938	235.485069	148.254582	138.338853	205.203048	144.966305	233.213526	235.803105	204.706649	256.957498	193.601979	301.216636	279.219257	352.688582	651.817333	133.770724	230.603217	456.836697	131.867267	346.169439	271.961892	193.033443	263.975711	95.677466	255.931243	207.037751	125.775342	150.354697	143.869564	182.154093	90.910831	210.858649	217.043593	235.234559	301.588436	399.283827	207.582702	143.336347	147.85573	173.043779	166.139686	199.616878	138.948193	209.675159	196.594981	98.985525	237.553754	132.55977	163.854476	277.393814	132.479202	127.185352	116.49206	184.203184	149.646654	174.651254	266.467018	133.880971	183.78697	132.426271	155.956962	162.974552	193.300918	133.441568	106.633525	171.136264	187.190641	141.968479	165.373262	186.5294	110.316394	266.460477	155.068272	141.244381	112.258907	145.268772	175.331489	151.299681	146.776002	125.618784	142.458472	250.639793	165.966959	158.452887	183.348234
hsa-miR-107	53.241191	94.735848	88.31401	97.148088	91.40306	107.05301	239.739926	305.375441	84.562528	90.949826	150.412034	157.622852	162.008071	71.141607	211.276323	130.503478	158.634073	112.750801	85.567503	106.041077	131.899427	154.25848	105.192539	117.233032	187.443061	90.467551	100.797024	94.552912	94.681878	99.365616	170.396136	159.474223	135.193696	100.633626	160.749104	161.197472	85.674822	178.232354	312.067851	264.282543	320.54657	65.408895	84.42079	146.855958	89.198938	143.230584	54.17735	181.113696	289.534575	125.201713	135.094006	97.749751	115.258401	92.392939	111.317165	93.984422	75.566098	119.832111	85.639161	178.023576	128.43874	109.663857	219.15458	111.232537	89.1261	97.63144	139.771144	102.449315	147.720901	195.308212	122.789575	118.927329	115.031991	122.605677	108.974445	120.565433	83.320401	69.416333	135.244463	116.627534	90.602047	147.890439	101.10207	86.395155	98.922023	107.40137	106.923317	87.283876	140.159931	191.023598	83.516086	113.465135	149.560246	87.356611	101.255686	132.521148	97.726018	128.092606
hsa-miR-10a-3p	0.520272	3.338709	2.872	0.558322	0.62892	6.554267	0.238073	0	3.023008	1.06686	3.16287	1.964827	0	2.727224	0.825298	0.493086	1.03547	0.170576	0.553835	0.384207	0.939455	1.092739	0.719265	0.669903	0.871828	0.512564	3.433966	0	0.434321	0.937412	0.988213	0.881073	2.942992	0.193155	1.34518	0.990156	0	0.919513	4.641621	0.385814	0.741576	0.300041	2.272867	1.8403	2.727796	1.060967	4.68372	2.208703	1.956313	2.17364	3.61859	2.585322	4.529124	1.04754	3.17482	3.887846	6.020375	2.636892	2.085369	7.181419	0.343419	1.603274	2.861464	2.749569	1.445288	1.553229	1.562936	5.511066	2.772243	4.54205	2.576787	4.100945	2.953746	1.588158	2.087634	4.528278	0.644645	2.927194	3.641197	2.242837	2.653616	2.140753	5.290225	2.78694	9.720662	4.223649	3.300102	2.059797	0.888494	4.571717	1.506303	3.816869	2.069016	3.897449	6.277618	1.577632	2.211905	3.091225
hsa-miR-10a-5p	11831.42416	21771.29877	34947.93602	2446.010228	7687.290844	45261.39323	12841.91806	4699.518224	41307.69125	7133.560216	16128.52779	16291.69747	7606.336469	50462.8529	17514.7522	13330.25647	30888.70494	7142.362468	5800.452151	6669.829969	12437.25148	12734.79343	11550.68005	5402.991339	13826.32311	16796.21082	40016.8224	2936.574291	5559.302782	6754.585147	8049.982114	20476.72513	11142.9036	1118.94547	7006.374138	2290.033858	6192.071645	7728.81709	24132.74337	6929.218189	9355.362119	8609.67091	8879.119164	14095.5955	24693.10247	10704.55351	32281.59135	13384.14155	21673.81504	21743.14694	27805.64315	32043.94356	28547.69417	18584.17981	27370.72823	54288.51257	44944.59698	24753.2418	32038.22176	54532.47645	25339.17786	19939.90292	25626.27377	20115.84181	21774.34886	21173.15268	33795.36701	48872.98687	22810.80002	22463.97712	26665.8406	37346.74212	31386.01077	24754.11766	34014.22179	29271.6461	31046.76047	33771.04653	20923.87922	19427.97301	25266.21933	24390.86176	35255.23277	31046.28481	55394.18782	42499.56782	18853.15501	21167.75523	16095.51311	48570.77653	20748.30746	22473.03685	29604.357	44740.82974	39882.41785	13436.53996	27672.1481	23039.6664
